id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
7150	NA	AVENUE MOZART) 84 1190 Bruxelles	84	1190	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.8107142	4.33677246104526
4714	NA	Avenue Notre Dame  40 1140 Bruxelles	40	1140	Bruxelles	Bruxelles-Brussel	1er étagesalle de sport	NA	NA	NA	50.870007	4.3970125
11969	Appareil fixe-Vast apparaat	AVENUE NUMA ENSCH TESCH  1 6700 ARLON	1	6700	ARLON	Luxembourg	SALLE DE GYM DANS ECOLE DE GAGENBERG	Oui-Ja	Non-Nee	HORAIRE ECOLE	49.6859001	5.80123310435032
9890	NA	Avenue Nusbaum 21 4141 Banneux	21	4141	Banneux	Liège	NA	NA	NA	NA	50.5363773	5.73239958387203
887	NA	Avenue Oscar Jespers 75 1200 Bruxelles	75	1200	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8582148	4.44400280716281
889	NA	Avenue Oscar Jespers 75 1200 Bruxelles	75	1200	Bruxelles	Bruxelles-Brussel	NA	N	NA	NA	50.8582148	4.44400280716281
10975	NA	Avenue P. Hymans  2 1200 Bruxelles	2	1200	Bruxelles	Bruxelles-Brussel	NA	Y	NA	NA	50.8436522	4.4258097
4138	NA	Avenue P. Roosevelt  57 5060 Tamines	57	5060	Tamines	Namur	salle de gym-hall d entrée	NA	NA	NA	50.444981	4.628237
4139	NA	Avenue P. Roosevelt  57 5060 Tamines	57	5060	Tamines	Namur	hall d entrée,section techn	NA	NA	NA	50.444981	4.628237
4137	NA	Avenue P. Roosevelt 57 5060 Tamines	57	5060	Tamines	Namur	bâtiment accueil	NA	NA	NA	50.444981	4.628237
5994	NA	Avenue Pasteur   1300 Wavre	NA	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291923	4.5906775
9565	NA	Avenue Pasteur  2 1300 Wavre	2	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.72890925	4.59066720657546
9567	NA	Avenue Pasteur  2 1300 Wavre	2	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.72890925	4.59066720657546
9558	NA	Avenue Pasteur  6 1300 Wavre	6	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7296865	4.58915544827443
9566	NA	Avenue Pasteur 2 1300 Wavre	2	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.72890925	4.59066720657546
9555	NA	Avenue Pasteur 23 1300 Wavre	23	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291923	4.5906775
9556	NA	Avenue Pasteur 23 1300 Wavre	23	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291923	4.5906775
9557	NA	Avenue Pasteur 23 1300 Wavre	23	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291923	4.5906775
9561	NA	Avenue Pasteur 4 1300 Wavre	4	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291734	4.58941777364451
9562	NA	Avenue Pasteur 4 1300 Wavre	4	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291734	4.58941777364451
9563	NA	Avenue Pasteur 4 1300 Wavre	4	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291734	4.58941777364451
9564	NA	Avenue Pasteur 4 1300 Wavre	4	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7291734	4.58941777364451
9559	NA	Avenue Pasteur 6 1300 Wavre	6	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7296865	4.58915544827443
9560	NA	Avenue Pasteur 6 1300 Wavre	6	1300	Wavre	Brabant Wallon	NA	NA	NA	NA	50.7296865	4.58915544827443
8740	NA	Avenue Patton  237 6041 Gosselies	237	6041	Gosselies	Hainaut	NA	Y	NA	NA	50.46899796	4.4322896
10532	NA	Avenue Patton 235 6700 Arlon	235	6700	Arlon	Luxembourg	NA	Y	NA	NA	49.6718776	5.8175667
14087	Appareil fixe-Vast apparaat	Avenue Patton 261 6700 Arlon	261	6700	Arlon	Luxembourg	.	Oui-Ja	Non-Nee	NA	49.6772125	5.8118916
10088	NA	Avenue Paul delvaux 12 1340 Ottignies	12	1340	Ottignies	Brabant Wallon	NA	NA	NA	NA	50.6696446	4.5717659925313
1671	Appareil fixe-Vast apparaat	AVENUE PAUL HARTMANN 1 1480 SAINTES	1	1480	SAINTES	Brabant Wallon	/	Oui-Ja	Oui-Ja	NA	50.7113199	4.17425469592903
1670	Appareil fixe-Vast apparaat	AVENUE PAUL HARTMANN 1 1480 SAINTES	1	1480	SAINTES	Brabant Wallon	/	Oui-Ja	Oui-Ja	NA	50.7113199	4.17425469592903
4131	NA	Avenue Paul Henricot 1 1490 Court-Saint-Etienne	1	1490	Court-Saint-Etienne	Brabant Wallon	local infirmerie	NA	NA	NA	50.6504425	4.56361
6065	NA	Avenue Paul Pastur  404 6032 Mont-sur-Marchienne	404	6032	Mont-sur-Marchienne	Hainaut	NA	NA	NA	NA	50.3992408	4.42298647363169
11734	Appareil fixe	Avenue Paul Pastur 177 6032 	177	6032	NA	Hainaut	NA	Y	NA	NA	NA	NA
13581	Appareil fixe-Vast apparaat	Avenue Paul Stroobant 72 1180 Uccle	72	1180	Uccle	Bruxelles-Brussel	Accueil	Oui-Ja	Non-Nee	NA	50.79796945	4.35023718064086
7465	NA	AVENUE PIERRE HOLOFFE 21 1342 Limelette	21	1342	Limelette	Brabant Wallon	NA	NA	NA	NA	50.6901493	4.5313048
5653	NA	Avenue Pire Pierre  30 4820 Dison	30	4820	Dison	Liège	 hall d accueil	NA	NA	NA	50.6023463	5.8700443
7127	NA	AVENUE PONT DE WARCHE) 1 4960 Malmédy	1	4960	Malmédy	Liège	NA	NA	NA	NA	50.41966175	6.00979411619177
4258	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4259	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4260	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4261	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4262	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4263	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4264	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4266	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4268	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4269	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4270	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4271	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4272	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4273	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4274	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4275	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4276	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4277	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
4278	NA	Avenue Porte de Hal  40 1060 Bruxelles	40	1060	Bruxelles	Bruxelles-Brussel	Section 13/7 BE	NA	NA	NA	50.8359643	4.3414723
7006	NA	AVENUE PRE AILY 26 4031 Angleur	26	4031	Angleur	Liège	NA	NA	NA	NA	50.5954462	5.56378732814217
15046	Appareil fixe-Vast apparaat	Avenue Président Roosevelt 14 5060 Sambreville	14	5060	Sambreville	Namur	Rez-de-Chaussée - Accueil - CPAS	Non-Nee	Oui-Ja	NA	50.4365213	4.607895
5435	NA	Avenue Prince de Liège  15 5100 Jambes	15	5100	Jambes	Namur	rez de ch,dans le hall	NA	NA	NA	50.463867	4.8867576
1987	NA	Avenue Prince de Liège  5100 Jambes	NA	5100	Jambes	Namur	près de l accueil	NA	NA	NA	50.461127	4.8773732
5437	NA	Avenue Prince de Liège 7 5100 Jambes	7	5100	Jambes	Namur	ez de ch,dans le hall	NA	NA	NA	50.46155105	4.877800561666
6392	NA	Avenue R. Schuman 42 1401 Nivelles	42	1401	Nivelles	Brabant Wallon	NA	NA	NA	NA	50.6218022	4.3260132
6199	NA	Avenue Reine Astrid   5000 Namur	NA	5000	Namur	Namur	NA	NA	NA	NA	50.4626438	4.8541304
6454	NA	Avenue Reine Astrid  11 6280 Gerpinnes	11	6280	Gerpinnes	Hainaut	NA	NA	NA	NA	50.33810535	4.52831624906611
7101	NA	AVENUE REINE ASTRID  16 5000 Namur	16	5000	Namur	Namur	NA	NA	NA	NA	50.4621812	4.85695483789297
13053	Appareil fixe-Vast apparaat	Avenue Reine Astrid  39 5000 Namur 	39	5000	Namur 	Namur	entree	Oui-Ja	Non-Nee	NA	NA	NA
